Matrix,Matrix %,Size1,RNF1 %,Size2,RNF2%,stiring time,stir speed mixing,temperature,Tensile Strength,BHN
2.0,100.0,0.2,0.0,0.0,0.0,10.0,400.0,710.0,92.14,40.76
2.0,98.0,0.2,2.0,0.0,0.0,10.0,400.0,710.0,121.3,61.5
2.0,96.0,0.2,4.0,0.0,0.0,10.0,400.0,710.0,148.1,64.6
2.0,94.0,0.2,6.0,0.0,0.0,10.0,400.0,710.0,174.9,67.8
2.0,96.0,50.0,0.0,50.0,4.0,8.0,500.0,720.0,90.0,40.0
2.0,94.0,50.0,2.0,50.0,4.0,8.0,500.0,720.0,120.0,50.0
2.0,92.0,50.0,4.0,50.0,4.0,8.0,500.0,720.0,128.0,57.0
2.0,90.0,50.0,6.0,50.0,4.0,8.0,500.0,720.0,140.0,65.0
1.0,100.0,150.0,0.0,0.0,0.0,10.0,400.0,710.0,210.0,68.0
1.0,98.0,150.0,2.0,0.0,0.0,10.0,400.0,710.0,225.0,80.0
1.0,96.0,150.0,4.0,0.0,0.0,10.0,400.0,710.0,240.0,100.0
1.0,94.0,150.0,6.0,0.0,0.0,10.0,400.0,710.0,270.0,116.0
2.0,96.0,5.0,0.0,15.0,4.0,8.0,500.0,720.0,85.0,55.0
2.0,95.0,5.0,1.0,15.0,4.0,8.0,500.0,720.0,125.0,64.0
2.0,94.0,5.0,2.0,15.0,4.0,8.0,500.0,720.0,145.0,67.0
2.0,93.0,5.0,3.0,15.0,4.0,8.0,500.0,720.0,165.0,76.0
2.0,92.0,5.0,4.0,15.0,4.0,8.0,500.0,720.0,90.0,60.0
